Country Name,Country Code,Series Name,Series Code,2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014]
India,IND,GDP (current US$),NY.GDP.MKTP.CD,3567551674623.01,3353470496886.33,3167270623260.47,2674851578587.27,2835606256558.19,2702929641648.74,2651474262755.45,2294796885663.16,2103588360044.94,2039126479154.52
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.64914318907925,6.69903414079852,5.13140747176369,6.62343677628535,3.72950573539129,3.9388264669163,3.32817337461298,4.94821634062141,4.90697344127256,6.66565671867899
India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.172,4.822,6.38,7.859,6.51,7.652,7.618,7.601,7.631,7.674
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,55.9,..,43.4,29.5,20.1,18.2,16.5,14.9,13.5
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,67.744,67.24,70.15,70.91,70.71,70.467,70.117,69.636,69.074
India,IND,Population growth (annual %),SP.POP.GROW,0.883289539766135,0.790200540609834,0.822648220128724,0.973438646910149,1.04001395098104,1.09729906702925,1.1623961434697,1.19162966402099,1.19285563384335,1.26129027125347
India,IND,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,46.5224986659322,47.5836093800197,47.6337555915272,49.9647183856551,49.9009248748319
India,IND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,77,76,..,..,..,..,..,..,..,..
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,27720709000000,26006893000000,23681171000000,21354105000000,21539982000000,20656516000000,19612102000000,18804913000000,18295019000000,17608138000000
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.11633838374488,8.00279982052121,4.69785886363742,1.23358439630629,1.81221007526021,2.44258329692817,2.13011000365961,1.26158320570536,0.118627135552451,1.62222297740817
United States,USA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.638,3.65,5.349,8.055,3.669,3.896,4.355,4.869,5.28,6.168
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.1,92.2,91.3,90.3,89.4,88.5,87.3,85.5,74.6,73
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,77.4341463414634,76.3292682926829,76.9804878048781,78.7878048780488,78.6390243902439,78.5390243902439,78.5390243902439,78.690243902439,78.8414634146341
United States,USA,Population growth (annual %),SP.POP.GROW,0.491924871690548,0.367472693654024,0.157342694282194,0.968999515833015,0.455381285963537,0.526435395564053,0.63264399508256,0.724676067451429,0.73621730882542,0.733361519937424
